arabinose_transporters	galactose_transporters	glucose_transporters	lactose_transporters	mannitol_transporters	mannose_transporters	polysia_transporters	sia_transporters	ribose_transporters	sucrose_transporters
		A0A412MXX1				A0A222FA61			
		A0A412N1C0				A0A222FGG9			
		A0A412N1D4				A0A222MWL2			
		A0A412N352				A0A222P3K0			
		A0A412NUQ3				A0A222P8C2			
		A0A412NUR1				A0A222SGP7			
		A0A412NWJ8				A0A222T4U2			
		A0A412NY37				A0A222TD28			
		A0A412NZF8				A0A222VIN5			
		A0A412P2P7				A0A222WIP1			
		A0A412P312				A0A222XFL7			
		A0A412P313				A0A223B1J3			
		A0A412PBN4				A0A223EHX9			
		A0A412PBR0				A0A223KVK0			
		A0A412PF82				A0A223N0H3			
		A0A412PHW4				A0A223P3Z6			
		A0A412Q0V7				A0A223QHW7			
		A0A412Q109				A0A223SBW8			
		A0A412RI02				A0A223SD85			
		A0A412SV05				A0A223VLB2			
		A0A412T0E8				A0A223VXU8			
		A0A412T1G6				A0A224X6H3			
		A0A412T2P6				A0A225CQV9			
		A0A412T2U5				A0A225DQP2			
		A0A412T3B3				A0A225E0Y2			
		A0A412T8T8				A0A225E1P4			
		A0A412UGM0				A0A225MRH7			
		A0A412UGS4				A0A225SS20			
		A0A412UGT9				A0A225TIP4			
		A0A412UJF5				A0A226HD42			
		A0A412UKD4				A0A226X3I8			
		A0A412UKK8				A0A227KTY1			
		A0A412X9G0				A0A227PFX3			
		A0A412X9G3				A0A228EGS2			
		A0A412XD27				A0A228HUW2			
		A0A412XGN5				A0A228J127			
		A0A412XP53				A0A228J1C1			
		A0A412YSE6				A0A228K6M4			
		A0A413AL14				A0A228K6T6			
		A0A413AL43				A0A228QF36			
		A0A413ALG2				A0A228REK8			
		A0A413AQD0				A0A228RGP2			
		A0A413BD33				A0A229H6L6			
		A0A413CL04				A0A229NWG5			
		A0A413CNJ1				A0A229RLZ7			
		A0A413CPC1				A0A229RYI5			
		A0A413CPD8				A0A229S0G0			
		A0A413CQ59				A0A229SJ47			
		A0A413CQF5				A0A229T573			
		A0A413CRU7				A0A229TIZ6			
		A0A413CS52				A0A229TTE4			
		A0A413CSI4				A0A229UTN2			
		A0A413CSN6				A0A229VUW5			
		A0A413CUA1				A0A231G3J3			
		A0A413CWR4				A0A231HCI4			
		A0A413DIJ1				A0A231NPY2			
		A0A413DUU6				A0A231PFJ2			
		A0A413DWL2				A0A231PNL5			
		A0A413DWP0				A0A231R9F2			
		A0A413DX65				A0A233HJJ6			
		A0A413DXB9				A0A233RFF4			
		A0A413F1V0				A0A233SFW9			
		A0A413F1W5				A0A233SGV5			
		A0A413F2Q9				A0A235ABP5			
		A0A413F3P5				A0A235ABP8			
		A0A413F3X2				A0A235AZA2			
		A0A413F6M2				A0A235B5L8			
		A0A413F7Y8				A0A235CM62			
		A0A413FBG8				A0A235CM84			
		A0A413FCR9				A0A235ENF3			
		A0A413FJS8				A0A235G3M9			
		A0A413FXF0				A0A235H537			
		A0A413FXQ6				A0A235HAT1			
		A0A413FXR8				A0A235HT52			
		A0A413FY44				A0A235HZ63			
		A0A413FYK3				A0A235I6L8			
		A0A413FYM4				A0A235IM12			
		A0A413FYX2				A0A235J757			
		A0A413H0B7				A0A235J964			
		A0A413H1J6				A0A237PUL8			
		A0A413H1K1				A0A238D736			
		A0A413H9K2				A0A238D9W7			
		A0A413HDC5				A0A238H3M3			
		A0A413I601				A0A238H7T0			
		A0A413LVL6				A0A238HDW3			
		A0A413M940				A0A238IXZ7			
		A0A413Q675				A0A238IZA0			
		A0A413QX30				A0A238J7Y1			
		A0A413R8F5				A0A238J8Y9			
		A0A413RCP4				A0A238JLZ9			
		A0A413RF08				A0A238JQG0			
		A0A413RFQ4				A0A238K312			
		A0A413RFR2				A0A238K6V1			
		A0A413RPJ6				A0A238K9W3			
		A0A413RQ19				A0A238KPW4			
		A0A413RQW3				A0A238KUE7			
		A0A413T691				A0A238KVW1			
		A0A413TGH6				A0A238KY80			
		A0A413TKB9				A0A238LGP9			
		A0A413TLS1				A0A238LHM7			
		A0A413TLV2				A0A238UXQ4			
		A0A413TMP3				A0A238V3G2			
		A0A413TNE2				A0A238VR21			
		A0A413U9I8				A0A238WNG5			
		A0A413U9N5				A0A238WSY0			
		A0A413UAR8				A0A238XM10			
		A0A413UAT0				A0A238Y4Z7			
		A0A413UFZ6				A0A238Y648			
		A0A413UHT0				A0A238YMQ7			
		A0A413UL32				A0A238YTF7			
		A0A413ULL2				A0A238YYM6			
		A0A413ULX6				A0A239A0H2			
		A0A413UP04				A0A239ARF8			
		A0A413UQU1				A0A239B0D4			
		A0A413URN5				A0A239B1L9			
		A0A413URT2				A0A239BMJ3			
		A0A413USB4				A0A239BQN4			
		A0A413V2D6				A0A239C7P8			
		A0A413VNJ9				A0A239CKY3			
		A0A413VNN4				A0A239CTY5			
		A0A413W562				A0A239CVC1			
		A0A413WM62				A0A239F7A0			
		A0A413WML8				A0A239FUF7			
		A0A413WQJ2				A0A239H6P5			
		A0A413WXV8				A0A239I889			
		A0A413X4Y4				A0A239JGA7			
		A0A413Z2N7				A0A239JP69			
		A0A413ZN93				A0A239K986			
		A0A414A128				A0A239KH09			
		A0A414APZ8				A0A239L9A8			
		A0A414CAF9				A0A239LBH3			
		A0A414CB37				A0A239LK44			
		A0A414CC09				A0A239LR83			
		A0A414CCD6				A0A239MNW1			
		A0A414CCI0				A0A239NST5			
		A0A414CCX4				A0A239P7W6			
		A0A414CD31				A0A239PBG8			
		A0A414CE99				A0A239PNG1			
		A0A414CJQ7				A0A239Q040			
		A0A414D6U1				A0A239Q9D0			
		A0A414EP69				A0A239QLP2			
		A0A414ERW6				A0A239QNP0			
		A0A414ETJ3				A0A239QWG5			
		A0A414ETS5				A0A239R195			
		A0A414EU43				A0A239R247			
		A0A414EXV6				A0A239R7W5			
		A0A414FWJ9				A0A239RDB9			
		A0A414FYB5				A0A239SV18			
		A0A414FYM5				A0A239UEN7			
		A0A414FYY3				A0A239WXF0			
		A0A414I1M8				A0A239XPY0			
		A0A414IV82				A0A239ZRX2			
		A0A414IVC5				A0A240BPC1			
		A0A414JEE8				A0A240BV19			
		A0A414JF35				A0A240EMN6			
		A0A414JFG6				A0A240TNH6			
		A0A414JFN6				A0A240U040			
		A0A414JGX8				A0A241RNJ3			
		A0A414JHC3				A0A241TSL6			
		A0A414JHN5				A0A241TU38			
		A0A414JI23				A0A241W0D1			
		A0A414JIW2				A0A241XR88			
		A0A414LSN1				A0A241XTU5			
		A0A414NEY6				A0A242AXU4			
		A0A414NFK9				A0A242B3N3			
		A0A414NFZ7				A0A242CHU7			
		A0A414NU86				A0A242D6E4			
		A0A414PMW9				A0A242DCD5			
		A0A414PMY4				A0A242E2X4			
		A0A414PQ71				A0A242H3D2			
		A0A414PQ81				A0A242IBI4			
		A0A414PT93				A0A242JW31			
		A0A414PTE2				A0A242JWZ0			
		A0A414PUK7				A0A242K2Z2			
		A0A414PVN9				A0A242K3S9			
		A0A414Q0H7				A0A242LFQ7			
		A0A414Q253				A0A242M4F1			
		A0A414QNE9				A0A242N1Y1			
		A0A414R9E0				A0A242W1R4			
		A0A414RNS2				A0A242Z059			
		A0A414RSF6				A0A243GXC7			
		A0A414RVQ7				A0A243ILF1			
		A0A414RVS2				A0A243JZZ5			
		A0A414RW69				A0A243P7Q5			
		A0A414RXA0				A0A243S6H8			
		A0A414RZ16				A0A243S861			
		A0A414SGW6				A0A243SJM4			
		A0A414SR92				A0A243W9K8			
		A0A414VAY1				A0A243WBY6			
		A0A414VB35				A0A244BHQ8			
		A0A414VMZ3				A0A244D4V8			
		A0A414VN82				A0A244DLJ8			
		A0A414VQT6				A0A244EC39			
		A0A414WFY8				A0A244ES81			
		A0A414WHY5				A0A244EX32			
		A0A414WLN5				A0A245ZT64			
		A0A414WLQ4				A0A245ZVN0			
		A0A414WN71				A0A246AFM6			
		A0A414XHA6				A0A246AQF0			
		A0A414XHC4				A0A246AQT5			
		A0A414ZP62				A0A246B6U6			
		A0A414ZP83				A0A246DU73			
		A0A414ZSH1				A0A246E6N4			
		A0A414ZZ44				A0A246E988			
		A0A415A2K4				A0A246F622			
		A0A415BFH3				A0A246F7D6			
		A0A415BFX9				A0A246FF65			
		A0A415BHC4				A0A246FVF9			
		A0A415BI95				A0A246GDY0			
		A0A415BIV7				A0A246HSC7			
		A0A415BIX0				A0A246I932			
		A0A415BJX1				A0A246KY61			
		A0A415C9X5				A0A246NHA7			
		A0A415C9Y5				A0A246Q2D8			
		A0A415CA08				A0A246Q373			
		A0A415CCP5				A0A246RIV8			
		A0A415CDF3				A0A246RPH0			
		A0A415CVG2				A0A246RYK6			
		A0A415CXY3				A0A246RYU7			
		A0A415CZU3				A0A246SDW2			
		A0A415CZV5				A0A246T0B9			
		A0A415D079				A0A246TF45			
		A0A415ENY8				A0A246U589			
		A0A415FCI4				A0A248K138			
		A0A415FIC7				A0A248K1G5			
		A0A415I2K1				A0A248KBP5			
		A0A415I5Q0				A0A248KLA8			
		A0A415ICH2				A0A248L574			
		A0A415IES6				A0A248L9W9			
		A0A415INL7				A0A248TJ45			
		A0A415JJJ8				A0A248TJ93			
		A0A415JLK0				A0A248UCT6			
		A0A415JNP1				A0A248VDQ1			
		A0A415JP80				A0A248VRJ8			
		A0A415JP83				A0A248W0Q2			
		A0A415JPN4				A0A248W4D1			
		A0A415JRI7				A0A248WCH1			
		A0A415K1A8				A0A248X8P0			
		A0A415K599				A0A248YI45			
		A0A415KG27				A0A249E228			
		A0A415KHX4				A0A249JWX3			
		A0A415KKQ8				A0A249KAY4			
		A0A415KKR2				A0A249KES8			
		A0A415KM55				A0A249KIS4			
		A0A415M5D6				A0A249KR64			
		A0A415NSJ2				A0A249KU83			
		A0A415P066				A0A249L380			
		A0A415P0Z3				A0A249L5V6			
		A0A415P2U6				A0A249LDX0			
		A0A415P5V4				A0A249LE46			
		A0A415P794				A0A249LKW9			
		A0A415R8M9				A0A249LSG2			
		A0A415RGD8				A0A249LW90			
		A0A415RMN0				A0A249N0R3			
		A0A415RNI6				A0A249P389			
		A0A415RR64				A0A249PKK8			
		A0A415RT49				A0A249Q203			
		A0A415RTH0				A0A250AXD5			
		A0A415RTP4				A0A250IRX2			
		A0A415RW21				A0A250JAG7			
		A0A415TDT2				A0A250JZW2			
		A0A415THI8				A0A250KNV2			
		A0A415TIE7				A0A250L366			
		A0A415TIY1				A0A250V4D6			
		A0A415TL90				A0A250VN19			
		A0A415UR88				A0A251WAE1			
		A0A415USH3				A0A251WFT5			
		A0A415USP4				A0A251WUV1			
		A0A415UU39				A0A251X7K2			
		A0A415UUN3				A0A251X8P3			
		A0A415UUR0				A0A251XS09			
		A0A415UWF6				A0A251XSY7			
		A0A415UXC5				A0A251YAM5			
		A0A415UXG1				A0A251YBH8			
		A0A415V8H2				A0A251YKE2			
		A0A415V8K5				A0A251YPZ8			
		A0A415V8L5				A0A251YSK7			
		A0A415V8Z7				A0A251YWY0			
		A0A415V909				A0A251Z570			
		A0A415VWG3				A0A251Z5E0			
		A0A415VZQ9				A0A251ZTA5			
		A0A415W315				A0A251ZWA1			
		A0A415W9F3				A0A252A3Q6			
		A0A415W9G4				A0A252A7G7			
		A0A415WFV8				A0A252AMK5			
		A0A415WFV9				A0A252BKY1			
		A0A415YBX3				A0A252BMT4			
		A0A415YEK4				A0A252BNC9			
		A0A415YEP3				A0A252BVL7			
		A0A415YHK4				A0A252C7H3			
		A0A415Z5J7				A0A252CDT0			
		A0A415ZC90				A0A252CE08			
		A0A415ZCB7				A0A252D0L5			
		A0A416AX89				A0A252D6Y1			
		A0A416B6I3				A0A252D7T9			
		A0A416CI74				A0A252DLC9			
		A0A416CID7				A0A252DQT2			
		A0A416CIK3				A0A252DUR3			
		A0A416DCA2				A0A252E091			
		A0A416DCD4				A0A252E671			
		A0A416E4K7				A0A252EAE2			
		A0A416EGH4				A0A252EGD0			
		A0A416EGI9				A0A254Q4F8			
		A0A416FER5				A0A254QJY7			
		A0A416FSY7				A0A254QKE3			
		A0A416HE89				A0A254QVB7			
		A0A416J4G2				A0A254RGA1			
		A0A416JWW7				A0A254SP44			
		A0A416K7F6				A0A254T2C9			
		A0A416K986				A0A254TBG6			
		A0A416KAR5				A0A254ULG9			
		A0A416KBP3				A0A255DD62			
		A0A416KSJ7				A0A255EGR9			
		A0A416LNT7				A0A255ELQ1			
		A0A416LY54				A0A255GKX8			
		A0A416MI78				A0A255HC70			
		A0A416MIN5				A0A255HQT3			
		A0A416ND40				A0A255HZ64			
		A0A416ND84				A0A255ILB1			
		A0A416NQ81				A0A255PDB0			
		A0A416NQ86				A0A255PN99			
		A0A416NU72				A0A255REN2			
		A0A416P8E6				A0A255SPN1			
		A0A416REU7				A0A255TKE6			
		A0A416RU62				A0A255XIH3			
		A0A416SEG2				A0A255XJ93			
		A0A416SEJ7				A0A255Y765			
		A0A416SXF7				A0A255Z642			
		A0A416TS83				A0A256A0V6			
		A0A416U578				A0A256B7V0			
		A0A416U5V4				A0A256BA40			
		A0A416WLZ0				A0A256CTW5			
		A0A416YWY8				A0A256EZQ2			
		A0A416ZEU8				A0A256FN35			
		A0A416ZH96				A0A256FNV7			
		A0A416ZHK9				A0A256G437			
		A0A416ZIF1				A0A256H0L1			
		A0A416ZIF9				A0A256W7H4			
		A0A417BSW2				A0A257AY37			
		A0A417CDL7				A0A257B577			
		A0A417CTZ2				A0A257C8F4			
		A0A417CV97				A0A257CTU2			
		A0A417EB28				A0A257DBX1			
		A0A417EBE6				A0A257EB76			
		A0A417EC03				A0A257EGA1			
		A0A417EZS9				A0A257FYF5			
		A0A417EZT2				A0A257G626			
		A0A417F185				A0A257H7B6			
		A0A417F2D0				A0A257H9W1			
		A0A417F2H6				A0A257HSM2			
		A0A417FMM8				A0A257I291			
		A0A417FRM9				A0A257IZB2			
		A0A417FRX3				A0A257J5Z3			
		A0A417FS70				A0A257J7Z1			
		A0A417HLN3				A0A257JJT4			
		A0A417HLP8				A0A257JRF8			
		A0A417HUH3				A0A257K0H9			
		A0A417IIF2				A0A257KMK6			
		A0A417IIF7				A0A257N6N2			
		A0A417JNH5				A0A257NQ47			
		A0A417JTZ9				A0A257NX58			
		A0A417JU14				A0A257PLZ5			
		A0A417K2H5				A0A257PXF8			
		A0A417K437				A0A257Q9S6			
		A0A417KN06				A0A257QA66			
		A0A417KN85				A0A257QVU8			
		A0A417L120				A0A257QY23			
		A0A417L6Q3				A0A257R9C0			
		A0A417L6R1				A0A257RFS9			
		A0A417LU45				A0A257S424			
		A0A417LXU5				A0A257S4B8			
		A0A417PT82				A0A257SAU6			
		A0A417QHJ2				A0A257SJ03			
		A0A417R618				A0A257UJK3			
		A0A417RET5				A0A257UKW8			
		A0A417SKU6				A0A257UM97			
		A0A417U367				A0A257UWA7			
		A0A417U3N0				A0A257V5C0			
		A0A417UDH5				A0A257V729			
		A0A417UHY9				A0A257VBF8			
		A0A417UJG9				A0A257VPQ4			
		A0A417UV57				A0A257VSX2			
		A0A417V255				A0A257WVX6			
		A0A417V314				A0A257WZB7			
		A0A417V594				A0A258AUP1			
		A0A417V5K2				A0A258AXP9			
		A0A417V8H3				A0A258BM18			
		A0A417V8I9				A0A258BT67			
		A0A417VTB6				A0A258D7E6			
		A0A417XQD9				A0A258EPZ4			
		A0A417YNC0				A0A258FGT4			
		A0A417YPA3				A0A258FRT9			
		A0A417YXS7				A0A258FU58			
		A0A418GJN4				A0A258H8C1			
		A0A418GLR4				A0A258HFA2			
		A0A418GU68				A0A258HHG3			
		A0A418GX34				A0A258HQR9			
		A0A418H922				A0A258HYW8			
		A0A418HQ89				A0A258I545			
		A0A418IDJ1				A0A258IJK2			
		A0A418INV6				A0A258ISG0			
		A0A418J0Q1				A0A258JUV4			
		A0A418JKS7				A0A258JZ49			
		A0A418KHP4				A0A258KU38			
		A0A418Q5H9				A0A258KV37			
		A0A418RWU7				A0A258LES2			
		A0A418TBL4				A0A258LW29			
		A0A418US43				A0A258N451			
		A0A418YH20				A0A258NCX5			
		A0A418ZAU7				A0A258QFB0			
		A0A418ZBR1				A0A258QVG9			
		A0A418ZF33				A0A258R8K0			
		A0A419AXG2				A0A258S416			
		A0A419AZH7				A0A258SD13			
		A0A419DL90				A0A258SI98			
		A0A419DMD8				A0A258TTV2			
		A0A419HX25				A0A258VXS9			
		A0A419HYV9				A0A258YHE7			
		A0A419NBE9				A0A258ZJ87			
		A0A419T0F7				A0A258ZQF6			
		A0A419T5G6				A0A259B8X1			
		A0A419T9M7				A0A259BE23			
		A0A419TC23				A0A259CLV3			
		A0A420EBL3				A0A259DGQ8			
		A0A420FQJ5				A0A259E5K5			
		A0A420UTS7				A0A259F7R0			
		A0A420YQB0				A0A259FGK5			
		A0A421BIJ8				A0A259HEN6			
		A0A421DKK0				A0A259J2U0			
		A0A421DMI8				A0A259KI58			
		A0A422Y9D1				A0A259LY69			
		A0A422Z2N1				A0A259MIV4			
		A0A423E1L3				A0A259MMG7			
		A0A423EVT6				A0A259N933			
		A0A423FDS8				A0A259PK96			
		A0A423GSN0				A0A259RL54			
		A0A423H885				A0A259RVD1			
		A0A423HUP3				A0A259RZN7			
		A0A423IY14				A0A259S966			
		A0A423J695				A0A259SSR6			
		A0A423JG24				A0A259SSS7			
		A0A423K553				A0A259X2Z3			
		A0A423K9P9				A0A259Y400			
		A0A423M853				A0A260ABX3			
		A0A423MWD3				A0A260ATC6			
		A0A423NF88				A0A260BU80			
		A0A423P7P8				A0A260DZR1			
		A0A423URF8				A0A260J160			
		A0A423XYW9				A0A260MND3			
		A0A423Y1Z3				A0A260PTR1			
		A0A424NW95				A0A260R223			
		A0A424YDS2				A0A260R6G0			
		A0A424YJF7				A0A260RZN3			
		A0A425VYZ7				A0A260TTG7			
		A0A425W0H6				A0A260U0U5			
		A0A425W5Q7				A0A260VCM0			
		A0A425WIS2				A0A260WJP2			
		A0A425WJU8				A0A261D3D8			
		A0A425WJV2				A0A261DBI2			
		A0A425WND7				A0A261EPZ4			
		A0A426DPH1				A0A261EX24			
		A0A426FJM0				A0A261EZT3			
		A0A426H2E9				A0A261F748			
		A0A426JYH2				A0A261F7R3			
		A0A426R709				A0A261FF49			
		A0A426S0V0				A0A261FHQ0			
		A0A426UGY0				A0A261FRG8			
		A0A426WTH5				A0A261FWS6			
		A0A427K2M8				A0A261FYV4			
		A0A427KJ84				A0A261G8P3			
		A0A427RRF5				A0A261PYP7			
		A0A427RYI3				A0A261QRI2			
		A0A427SWV3				A0A261R7E2			
		A0A427TPM9				A0A261RCP2			
		A0A427URI5				A0A261S3W7			
		A0A427V5I0				A0A261SF71			
		A0A428MXJ3				A0A261TGW8			
		A0A428N105				A0A261TK44			
		A0A428VDG7				A0A261TZ14			
		A0A428W2L7				A0A261U356			
		A0A428Y125				A0A261UM71			
		A0A428Z3F1				A0A261V7W9			
		A0A429A0R6				A0A261VDG7			
		A0A429A4F2				A0A261VLC5			
		A0A429B5L9				A0A261VNJ9			
		A0A429CWR8				A0A261VU55			
		A0A429DAZ6				A0A261VU81			
		A0A429DDQ0				A0A261WNB5			
		A0A429DVY0				A0A261WNH3			
		A0A429F1Y2				A0A263D754			
		A0A429FML5				A0A263DY96			
		A0A429HHM6				A0A263HM03			
		A0A429HNV2				A0A263NYE8			
		A0A429HR52				A0A263NYV9			
		A0A429HRW7				A0A264ED98			
		A0A429IAI4				A0A265B007			
		A0A429IP46				A0A265E5M8			
		A0A429PBK1				A0A265E6L4			
		A0A429QWT9				A0A265NA59			
		A0A429RS49				A0A265UQH3			
		A0A429S6G1				A0A266QCV8			
		A0A429T852				A0A267HSK6			
		A0A429UXI0				A0A267MHI9			
		A0A429Z6D2				A0A267T3B3			
		A0A429ZGG7				A0A267TFA0			
		A0A429ZGW0				A0A267WM18			
		A0A429ZW84				A0A267XAM2			
		A0A429ZYQ3				A0A268AER6			
		A0A430AIS0				A0A268B2S3			
		A0A430AMD0				A0A268BVS9			
		A0A430AMY5				A0A268E924			
		A0A430F6U7				A0A268EFK0			
		A0A430FCE1				A0A268F5N5			
		A0A430J5V9				A0A268HI73			
		A0A430JS52				A0A268P1H1			
		A0A430RS51				A0A268RUT3			
		A0A430S685				A0A268SA40			
		A0A431HAB4				A0A269PGL7			
		A0A431Q863				A0A269PH25			
		A0A431SGW0				A0A269W1B0			
		A0A431UJF3				A0A269XXP2			
		A0A431VWS0				A0A269Y063			
		A0A431VWX8				A0A269ZH10			
		A0A432A6T4				A0A269ZHV2			
		A0A432CZ72				A0A270BL66			
		A0A432II17				A0A270NB29			
		A0A432IJ19				A0A271KGG4			
		A0A432SXK6				A0A271LAF6			
		A0A432SY93				A0A271U3C1			
		A0A432T4P1				A0A272ERH8			
		A0A432TGW4				A0A285BCF6			
		A0A432YWW0				A0A285BZJ1			
		A0A432Z5E4				A0A285C124			
		A0A433BVQ6				A0A285C236			
		A0A433BXZ3				A0A285CE39			
		A0A433C324				A0A285E0W6			
		A0A433CEE2				A0A285EH79			
		A0A433E9T4				A0A285EL08			
		A0A433EEI2				A0A285IJR6			
		A0A433ENU4				A0A285KMK1			
		A0A433FE33				A0A285LUV1			
		A0A433H0M9				A0A285N5F9			
		A0A433RYW4				A0A285NSU1			
		A0A433ZSU0				A0A285NZT2			
		A0A437KB49				A0A285PP52			
		A0A437KGL5				A0A285QEY6			
		A0A437SGW3				A0A285RQ79			
		A0A437SR41				A0A285SDC4			
		A0A437SWP6				A0A285SEV3			
		A0A437UI41				A0A285UII4			
		A0A437UK22				A0A285V459			
		A0A437UK54				A0A285VE69			
		A0A437UKP3				A0A285VFG7			
		A0A437UKY2				A0A285VWX7			
		A0A437UKZ0				A0A285WZM5			
		A0A437UPV2				A0A285WZQ8			
		A0A437UPV5				A0A285XPJ5			
		A0A437UPY5				A0A285XQA2			
		A0A437UQK1				A0A285XT64			
		A0A437UTN3				A0A285Z7P3			
		A0A437UVQ9				A0A286A2F9			
		A0A439DT91				A0A286A9K6			
		A0A439PPA1				A0A286A9Q4			
		A0A443IFK0				A0A286A9R6			
		A0A443J0L1				A0A286B8K7			
		A0A443W5B4				A0A286BVN2			
		A0A443XB19				A0A286BXN7			
		A0A443XWB0				A0A286C0D0			
		A0A444RDC5				A0A286CH52			
		A0A447JPI3				A0A286CSE1			
		A0A447JPI4				A0A286D6U4			
		A0A447KRB4				A0A286DUS3			
		A0A447LIG4				A0A286E2E7			
		A0A447P1K6				A0A286EAU7			
		A0A447XWK5				A0A286EI63			
		A0A448SR16				A0A286F188			
		A0A448TIM3				A0A286FDB0			
		A0A448TIP5				A0A286FIS4			
		A0A448UYE0				A0A286FJP5			
		A0A454BBW8				A0A286FSI3			
		A0A454W138				A0A286GF64			
		A0A455RXT7				A0A286GTB6			
		A0A455SRU6				A0A286H598			
		A0A455VIU5				A0A286H9N1			
		A0A455VT72				A0A286HKB8			
		A0A455W388				A0A286HR64			
		A0A460C973				A0A286I041			
		A0A477Y890				A0A286IHN5			
		A0A481QF54				A0A286P451			
		A0A482PLW3				A0A286RGA0			
		A0A482PMX9				A0A286RKK7			
		A0A482PW79				A0A286TDK5			
		A0A483B343				A0A286TEH7			
		A0A483CC78				A0A286U4A9			
		A0A483G008				A0A288QZ37			
		A0A483GS18				A0A290MT08			
		A0A483IAW5				A0A290Q7Y3			
		A0A483JM58				A0A290QAL6			
		A0A483KHD3				A0A290QHD2			
		A0A483LK32				A0A290XHX8			
		A0A483MFV5				A0A290XIY4			
		A0A483P4Z3				A0A290YZ01			
		A0A484GD82				A0A291A4J0			
		A0A484GDE3				A0A291A5A5			
		A0A484Y7U8				A0A291ALA7			
		A0A484ZJ08				A0A291BAZ9			
		A0A485ANW1				A0A291DH44			
		A0A485B7H5				A0A291DQC3			
		A0A485CAR7				A0A291FV94			
		A0A485U8T4				A0A291GE39			
		A0A486RI51				A0A291GLE1			
		A0A486X7Y5				A0A291GLF3			
		A0A486XJL1				A0A291GM35			
		A0A494RCX6				A0A291GU89			
		A0A494RQW5				A0A291GUS4			
		A0A494SFD4				A0A291GW44			
		A0A494SM61				A0A291GW93			
		A0A494SPN8				A0A291IJW2			
		A0A494T107				A0A291JM24			
		A0A494W4Q9				A0A291LVI7			
		A0A494XXN5				A0A291MUC6			
		A0A494ZQG1				A0A291PE50			
		A0A494ZQH1				A0A291PLI0			
		A0A494ZTS0				A0A291Q910			
		A0A494ZUB8				A0A291QK03			
		A0A494ZV28				A0A291RVN4			
		A0A494ZZV7				A0A291T0A4			
		A0A495A6M5				A0A291TFG2			
		A0A495AM59				A0A291U4A0			
		A0A495K1N5				A0A292A7Q6			
		A0A496MTY9				A0A292E383			
		A0A496MVH2				A0A292FWQ9			
		A0A496PZH9				A0A292YZ98			
		A0A498CNY5				A0A2A1KAB1			
		A0A498D7M0				A0A2A1ZUS8			
		A0A498DW19				A0A2A1ZVD3			
		A0A498R724				A0A2A1ZXC6			
		A0A4B9HQN7				A0A2A2A0U5			
		A0A4B9HU48				A0A2A2A2N4			
		A0A4B9HWA7				A0A2A2AA26			
		A0A4D4J2Z6				A0A2A2AEL1			
		A0A4D4JUV0				A0A2A2AGA3			
		A0A4D4KEI7				A0A2A2AHN0			
		A0A4D4KNE1				A0A2A2AVW1			
		A0A4D4KY34				A0A2A2AWI1			
		A0A4D4LC45				A0A2A2B0I5			
		A0A4D4ML03				A0A2A2B8K8			
		A0A4D6P9A2				A0A2A2CYH9			
		A0A4D6PAI2				A0A2A2DGD9			
		A0A4D6PB96				A0A2A2DVI9			
		A0A4D6XIG8				A0A2A2E1H1			
		A0A4D6XLW9				A0A2A2EIG8			
		A0A4D6XP98				A0A2A2EJQ9			
		A0A4D6XTS8				A0A2A2G2T4			
		A0A4D6XUL0				A0A2A2GGU1			
		A0A4D6XV53				A0A2A2HZY6			
		A0A4D6XVR2				A0A2A2IJI1			
		A0A4D6XWL3				A0A2A2IP11			
		A0A4D6XXZ9				A0A2A2MHQ3			
		A0A4D6Y4U4				A0A2A2PLS8			
		A0A4D6Y4V5				A0A2A2PR71			
		A0A4D6Y6Q0				A0A2A2QCK2			
		A0A4D6Y7L8				A0A2A2QQQ0			
		A0A4D6Y8I4				A0A2A2R2A5			
		A0A4D6Y8K7				A0A2A2RLS4			
		A0A4D6Y9Z7				A0A2A2RU23			
		A0A4D6YEC3				A0A2A2RZG7			
		A0A4D6YIN4				A0A2A2T6C2			
		A0A4D6YLR9				A0A2A2T8K7			
		A0A4D6YMI0				A0A2A2TCL5			
		A0A4D6YPC6				A0A2A2TJ56			
		A0A4D7CNJ6				A0A2A2V6H5			
		A0A4D7Q9P1				A0A2A2VC18			
		A0A4D8RLN0				A0A2A2W632			
		A0A4P2Q320				A0A2A2WCZ3			
		A0A4P2SNH2				A0A2A2WUH3			
		A0A4P5P9U1				A0A2A2XU00			
		A0A4P5PA66				A0A2A3A464			
		A0A4P5PCP4				A0A2A3AED6			
		A0A4P5PCQ4				A0A2A3AG04			
		A0A4P5PES2				A0A2A3AVJ6			
		A0A4P5Q906				A0A2A3BEN5			
		A0A4P5Q981				A0A2A3BR16			
		A0A4P5QCL9				A0A2A3CES2			
		A0A4P5RVI2				A0A2A3CXA6			
		A0A4P5SLB3				A0A2A3D573			
		A0A4P5UYH8				A0A2A3DYU1			
		A0A4P6A1A1				A0A2A3FQQ8			
		A0A4P6AQF9				A0A2A3GG28			
		A0A4P6ELD9				A0A2A3GV23			
		A0A4P6EXY0				A0A2A3H4J9			
		A0A4P6F0I8				A0A2A3HKN0			
		A0A4P6F1J4				A0A2A3HST7			
		A0A4P6G8F7				A0A2A3HUB7			
		A0A4P6JP20				A0A2A3IGI8			
		A0A4P6MTV3				A0A2A3ISZ3			
		A0A4P6TQC9				A0A2A3IZT8			
		A0A4P6TZ34				A0A2A3JBD3			
